coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	AVG_CONTROL	AVG_CANCER	DIFF	ABSDIFF	max_PTBP1_binding_3ss_core	max_PTBP1_binding_5ss_core	max_PTBP1_binding_3ss_5ss_core	max_RBFOX1_binding_5ss_core	gene_id
1:228141124-228141507:+	0.021935088368302814	0.014808746842494771	0.02295643812194982	0.016837686950259865	0.01703056558751617	0.002765575266844358	0.0022920089593779576	0.0019731531426874947	0.002420342425559173	0.01186986802254928	0.01871370517410469	0.004264189563403653	-0.014449515610701036	0.014449515610701036	0.905226	0.047565	0.905226	0.017229	ENSG00000143774
1:212442565-212442625:+	0.8162097772427108	0.7408864933986431	0.7772395508273864	0.8137054535191284	0.8365758762770695	0.8448318730214993	0.9306880381943978	0.8887139129049518	0.8529303070724202	0.7558437974033713	0.7969234302529877	0.8546015857193281	0.057678155466340364	0.057678155466340364	0.832593	0.0121	0.832593	0.0	ENSG00000117691
1:212442546-212442625:+	0.7252820426074432	0.6794367905305361	0.6825689929594848	0.7185352068918697	0.7338496331676481	0.6566847349638862	0.8816944963080634	0.7207180113950958	0.6881851118685873	0.570072559555672	0.7079345332313963	0.7034709828182609	-0.004463550413135398	0.004463550413135398	0.70872	0.0121	0.70872	0.0	ENSG00000117691
1:184072051-184072194:+	0.0	0.020087047123568517	0.027281014958879683	0.009007526861071645	0.004346273434498773	0.011870459773420222	0.00842366771330365	0.0	0.0	0.006863634073850183	0.012144372475603725	0.005431552312114811	-0.006712820163488915	0.006712820163488915	0.76667	0.071878	0.76667	0.0	ENSG00000198860
1:161213090-161213182:+	0.0004126093666056681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024521767785698253	8.252187332113362e-05	0.000490435355713965	0.0004079134823928314	0.0004079134823928314	0.876528	0.388107	0.876528	0.0	ENSG00000158864
1:161168432-161168576:+	1.0	1.0	1.0	0.9671030220448684	1.0	1.0	1.0	1.0	1.0	0.9902733926422093	0.9934206044089737	0.9980546785284419	0.004634074119468146	0.004634074119468146	0.8532390000000001	0.0	0.8532390000000001	0.0	ENSG00000143224
1:161168413-161168576:+	1.0	1.0	1.0	0.8430177011274435	1.0	1.0	1.0	1.0	1.0	0.9576967279120281	0.9686035402254888	0.9915393455824055	0.02293580535691675	0.02293580535691675	0.889992	0.0	0.889992	0.0	ENSG00000143224
1:160343704-160343802:+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004908282038641327	0.0	0.0009816564077282655	0.0009816564077282655	0.0009816564077282655	0.922698	0.03409	0.922698	0.0	ENSG00000162736
1:160343704-160343888:+	0.004762054123822907	0.0	0.004024278415836131	0.0	0.0009957737573061285	0.0	0.0029900071868857307	0.0006902697089470919	0.0007916067961412425	0.0	0.0019564212593930334	0.0008943767383948131	-0.0010620445209982203	0.0010620445209982203	0.922698	0.093317	0.922698	0.0	ENSG00000162736
1:155611216-155611291:+	0.9108037899785382	0.983017434383211	0.9751287295654655	1.0	0.9241456037793279	1.0	1.0	1.0	1.0	1.0	0.9586191115413085	1.0	0.04138088845869148	0.04138088845869148	0.782651	0.535158	0.782651	0.011413	ENSG00000125459
1:155061415-155061489:+	0.5710381035298077	0.41815708330250767	0.6084340786595785	0.515712602585106	0.834413138700959	0.3366003821300365	0.1996257620104104	0.5233686154167718	0.49732770939264703	0.40097188232125563	0.5895510013555917	0.3915788702542243	-0.1979721311013674	0.1979721311013674	1.869302	0.068738	1.869302	0.0	ENSG00000143537
1:148866411-148866532:+	0.005301809129901421	0.010389163599479556	0.011591873234953034	0.020207563784089957	0.05212522739417911	0.043801453802945076	0.08236477053506011	0.07780106724116237	0.018151556715060232	0.0	0.019923127428520614	0.044423769658845556	0.024500642230324943	0.024500642230324943	1.943495	0.033262	1.943495	0.0	ENSG00000178104
