coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	AVG_CONTROL	AVG_CANCER	DIFF	ABSDIFF	max_PTBP1_binding_3ss_core	max_PTBP1_binding_5ss_core	max_PTBP1_binding_3ss_5ss_core	max_RBFOX1_binding_5ss_core	gene_id
1:193069034-193069181:+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024757	0.044341	0.044341	0.0	ENSG00000116747
1:161160366-161160506:+	0.14338054027373406	0.11708171138555754	0.12387873212593307	0.1653845712618712	0.11556916317249301	0.3614472874763061	0.41485926915692084	0.3167213004996277	0.5688124991933695	0.5854596691789058	0.13305894364391777	0.449460005101026	0.3164010614571082	0.3164010614571082	0.024212	0.0	0.024212	0.0	ENSG00000143258
1:161160329-161160506:+	0.0142717392044743	0.06435335950310186	0.03904612608950433	0.0	0.04158518870825312	0.04369898705929761	0.016282584365767395	0.05394473690655486	0.15215525624228732	0.08769161916936026	0.03185128270106673	0.07075463674865348	0.038903354047586755	0.038903354047586755	0.029864	0.0	0.029864	0.0	ENSG00000143258
1:156236288-156236483:+	1.0	1.0	0.9573464125643074	1.0	1.0	1.0	1.0	1.0	0.9517137408195048	1.0	0.9914692825128615	0.990342748163901	-0.001126534348960484	0.001126534348960484	0.026348	0.0	0.026348	0.0	ENSG00000260238
1:43801282-43801545:+	0.0038547116726509764	0.0	0.004751099177879066	0.0	0.0	0.0	0.005671266500361078	0.011146339621929237	0.003873005699228735	0.012345894205796439	0.0017211621701060085	0.006607301205463098	0.00488613903535709	0.00488613903535709	0.0427639999999999	0.01085	0.0427639999999999	0.0	ENSG00000126091
1:2145338-2145511:+	0.0015445562132270572	0.002998445001015537	0.0012348019003330189	0.0005195664147705396	0.0021080183999056734	0.06524606905913313	0.0	0.03400451809289527	0.0	0.0	0.001681077585850365	0.01985011743040568	0.018169039844555316	0.018169039844555316	0.031496	0.047556	0.047556	0.018886	ENSG00000067606
1:2145389-2145511:+	0.004931444887686175	0.0041893386018859	0.007601492424786909	0.00519363762178901	0.008662311005944053	0.0525423206055746	0.0	0.0	0.0	0.040851355459074354	0.006115644908418409	0.018678735212929794	0.012563090304511384	0.012563090304511384	0.032986	0.047556	0.047556	0.018886	ENSG00000067606
1:2497502-2497609:+	1.0	0.9190164752230262	1.0	0.9683251143206411	0.7489524370570332	0.3469434142089934	1.0	0.9394402486974992	0.3785672937771341	1.0	0.9272588053201402	0.7329901913367254	-0.19426861398341477	0.19426861398341477	0.049703	0.01235	0.049703	0.011804	ENSG00000149527
1:20070845-20070944:+	0.0	0.0	0.0	0.007569246993718686	0.11852270943081572	0.0	0.05131626871107768	0.01426345005756967	0.029405711554040134	0.00871968479776481	0.025218391284906883	0.020741023024090456	-0.004477368260816426	0.004477368260816426	0.04652	0.0434979999999999	0.04652	0.0	ENSG00000127472
1:22654008-22654160:+	0.03807185454675673	0.021937502728259627	0.021937460934399546	0.01469566904952151	0.018022095929176044	0.008613152779858463	0.013933445473226174	0.005922540348200849	0.015062507714837204	0.012544322955998706	0.022932916637622692	0.01121519385442428	-0.011717722783198412	0.011717722783198412	0.037866	0.013178	0.037866	0.010007	ENSG00000173369
