coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	CONTROL_avg	CANCER_avg	DIFF	ABSDIFF	gene_id	gene_name	ttest_pval	p.adj.bonferroni	p.adj.bh	PTBP1_binding	RBFOX1_binding
1:228141124-228141288:+	0.5636403347353119	0.5399960180140881	0.5909791149949777	0.5516462844031903	0.5520529432594259	0.23981062895149013	0.2566261197675687	0.1657122830246792	0.25598341418481185	0.37446224964738095	0.5596629390813989	0.2585189391151862	-0.30114399996621266	0.30114399996621266	ENSG00000143774	GUK1	0.0005343290380444764	1.0	0.024697606894227724	1.25604	0.515436
1:1051032-1051043:+	0.4162066147038578	0.38141972011687175	0.3758017631428916	0.4030549135721451	0.21070650905269905	0.0751622180271115	0.012026965005732552	0.0557440052244038	0.034659680499601615	0.07572985061361943	0.35743790411769305	0.05066454387409378	-0.30677336024359925	0.30677336024359925	ENSG00000188157	AGRN	0.0006394727998339757	1.0	0.02756208713208465	2.711935	0.0
1:6041831-6041872:+	0.4358741388148531	0.40162382723194695	0.44023531258952614	0.38106425546177836	0.3285249263727375	0.18107380992311103	0.16891399563264692	0.2166356999284891	0.24772523326947873	0.32893721414467575	0.39746449209416845	0.2286571905796803	-0.16880730151448817	0.16880730151448817	ENSG00000069424	KCNAB2	0.0017963679368859593	1.0	0.04934361282164909	2.306555	0.0
1:6091263-6091307:+	0.17316865159231265	0.15291736808249998	0.183594948275675	0.244827882734035	0.21531900276872773	0.0	0.06252058354407247	0.0023997691027022486	0.003069144594122826	0.1239621406501285	0.19396557069065007	0.03839032757820521	-0.15557524311244486	0.15557524311244486	ENSG00000069424	KCNAB2	0.001137243681150274	1.0	0.03743869459605277	0.955657	0.314056
1:23066060-23066071:+	0.4836073354589724	0.31747964298055176	0.43302957913755635	0.49547888861360373	0.26612370168984795	0.19947107608701736	0.25580100575115766	0.1803960119509789	0.15264853383882754	0.22562462946246323	0.3991438295761064	0.20278825141808893	-0.19635557815801746	0.19635557815801746	ENSG00000004487	KDM1A	0.009622965731522022	1.0	0.12287324368437183	0.983726	0.0
1:31346640-31346740:+	1.0	1.0	1.0	0.9833897966732622	1.0	0.8478644096811797	0.8704612151193389	0.78507410329074	0.6799608361960241	0.9724002038138795	0.9966779593346524	0.8311521536202324	-0.16552580571442	0.16552580571442	ENSG00000121766	ZCCHC17	0.02650199285488625	1.0	0.2108159351228122	0.931843	0.155064
1:39465095-39465112:+	0.6420686876202174	0.6636525482274833	0.5827685348717717	0.7664565757584103	0.7440491054833818	0.634602591838814	0.5777273687751644	0.5966189113724453	0.5291752968502522	0.5596066136816379	0.6797990903922528	0.5795461565036628	-0.10025293388859002	0.10025293388859002	ENSG00000127603	MACF1	0.038621588755342044	1.0	0.25262723317128216	0.978569	0.5242469999999999
1:40454203-40454288:+	0.8021324816311388	0.8632890483821163	0.7106116819604927	0.7597579927767211	1.0	0.6663096552269154	0.5511165322692638	0.5246248169219122	0.0	0.6007375884626623	0.8271582409500938	0.4685577185761507	-0.35860052237394313	0.35860052237394313	ENSG00000187801	ZFP69B	0.03671678269184323	1.0	0.24617977425163987	1.264791	0.0
1:43602071-43602097:+	0.9335020883380872	0.9638575857467299	0.951691987090992	0.9662833423955692	0.8158525856416279	0.6452608727355353	0.6275925731290439	0.5813620003174383	0.5556978834875638	0.6635000669940627	0.9262375178426012	0.6146826793327288	-0.3115548385098724	0.3115548385098724	ENSG00000142949	PTPRF	3.5095971197634645e-05	1.0	0.0049110321340251764	1.104251	0.010187
1:52948009-52948080:+	0.9855748707373612	0.9597278189743419	1.0	1.0	1.0	0.8965079062263708	1.0	0.6967226904645047	0.8320046821074616	0.774447912563467	0.9890605379423405	0.8399366382723608	-0.14912389966997974	0.14912389966997974	ENSG00000116171	SCP2	0.044213731098221354	1.0	0.26946341155690595	0.988028	0.0
