coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	CONTROL_avg	CANCER_avg	DIFF	ABSDIFF	gene_id	gene_name	ttest_pval	p.adj.bonferroni	p.adj.bh	PTBP1_binding	RBFOX1_binding
1:228141124-228141288:+	0.5636403347353119	0.5399960180140881	0.5909791149949777	0.5516462844031903	0.5520529432594259	0.23981062895149013	0.2566261197675687	0.1657122830246792	0.25598341418481185	0.37446224964738095	0.5596629390813989	0.2585189391151862	-0.30114399996621266	0.30114399996621266	ENSG00000143774	GUK1	0.0005343290380444764	1.0	0.024697606894227724	1.25604	0.515436
1:204537430-204537497:+	1.0	1.0	0.9033410518043397	0.6136107956093242	0.5985027276301181	0.39522658265010774	0.22032327052106948	0.24064848715562132	0.7044912831555666	0.5475504199855042	0.8230909150087564	0.42164800869357394	-0.4014429063151825	0.4014429063151825	ENSG00000198625	MDM4	0.014447979645135181	1.0	0.1558326872884359	0.8786449999999999	0.11005
1:171591152-171591200:+	0.3178712114124865	0.22382093599961309	0.23352873980755906	0.32015554765488924	0.3718080853494211	0.1381936563458696	0.16444770064564146	0.20946072529491583	0.14303047552793657	0.17478338264122067	0.2934369040447938	0.1659831880911168	-0.12745371595367697	0.12745371595367697	ENSG00000117523	PRRC2C	0.007279488967236153	1.0	0.10617798162824936	0.41585700000000003	0.4600340000000001
1:161118804-161118881:+	1.0	0.7987658780057849	1.0	0.9244493110064382	1.0	1.0	0.11126985094909968	0.0	0.3579720998179459	0.3416952166884132	0.9446430378024446	0.3621874334910918	-0.5824556043113529	0.5824556043113529	ENSG00000158793	NIT1	0.026526706779950764	1.0	0.2108159351228122	0.053138	0.14827200000000001
1:151018557-151018669:+	0.4386044392388204	0.7241044516180347	0.4121441649890232	0.28238506610617453	0.42147035227393564	0.1970895332586833	0.089588449934752	0.13429314495592262	0.2940499260057075	0.3329553243209701	0.4557416948451977	0.20959527569520714	-0.24614641914999058	0.24614641914999058	ENSG00000143363	PRUNE1	0.025154960432140907	1.0	0.205621168963179	0.41631799999999997	0.312714
1:151018467-151018669:+	0.822759325332535	0.9334020663993198	0.7790024777572466	0.6665407796289119	0.6581286831983958	0.6411245000786078	0.4161181965931789	0.6363932473639634	0.6269803926840581	0.6182493979704318	0.7719666664632818	0.587773146938048	-0.18419351952523377	0.18419351952523377	ENSG00000143363	PRUNE1	0.02588484251139247	1.0	0.20863782187312527	0.063218	0.312714
1:78660554-78660654:+	0.8851926776559517	0.7670684466198403	0.7956211230391035	0.7730929375891267	0.7209277340128782	0.6329168239513047	0.7367345840077284	0.5905848742534885	0.592505246946405	0.6795667136166545	0.78838058378338	0.6464616485551162	-0.14191893522826382	0.14191893522826382	ENSG00000137965	IFI44	0.00643934504832387	1.0	0.0994625650231275	0.643925	0.0
1:78650186-78650652:+	0.8024930586298716	0.7252017080821558	0.7163664857411057	0.6209409026701159	0.6468717513768145	0.3712189436731389	0.5426213862990583	0.5084466989126549	0.47050241107249213	0.5935991936088392	0.7023747813000127	0.49727772671323667	-0.20509705458677607	0.20509705458677607	ENSG00000137965	IFI44	0.003320109900242471	1.0	0.06885885704642514	0.04095900000000001	1.028856
1:75728401-75728488:+	0.7459282363732108	0.7123689743876276	0.7175448971567121	0.8822630416706085	0.8172543043561497	0.5434981328285438	0.7490250620036275	0.5741296026969629	0.5846695543196478	0.5689352187198556	0.7750718907888617	0.6040515141137276	-0.17102037667513414	0.17102037667513414	ENSG00000117054	ACADM	0.008617342591788556	1.0	0.116231718188979	0.5244099999999999	0.0
1:51669434-51669512:+	0.807357575193615	0.6506362032376956	0.6611834035149079	0.5686098361101805	0.5114591760578235	0.30523461555133263	0.49930452294972133	0.4042196276133495	0.3764154663510021	0.43985168880567904	0.6398492388228446	0.40500518425421694	-0.23484405456862767	0.23484405456862767	ENSG00000117859	OSBPL9	0.0058758908547131535	1.0	0.09378472668889822	0.401256	1.239326
