coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	AVG_CONTROL	AVG_CANCER	DIFF	ABSDIFF	max_PTBP1_binding_3ss_core	max_PTBP1_binding_5ss_core	max_PTBP1_binding_3ss_5ss_core	max_RBFOX1_binding_5ss_core	gene_id
1:235419417-235419561:+	0.2457684839666751	0.34070923862824865	1.0	0.23968525754442005	0.0	0.4857419263667853	1.0	0.3877112694677771	0.5990154641738352	0.0	0.3652325960278688	0.49449373200167945	0.12926113597381067	0.12926113597381067	0.475677	0.0	0.475677	0.522385	ENSG00000284770
1:235419473-235419561:+	0.797923490626512	0.8434308905505485	1.0	0.7573773383239336	0.8616560056481279	0.8619419954540544	1.0	0.8741221513033608	0.8791350783290852	0.8634179195110566	0.8520775450298244	0.8957234289195114	0.04364588388968704	0.04364588388968704	0.432855	0.0	0.432855	0.522385	ENSG00000284770
1:228141626-228141829:+	0.06469744696807732	0.06048976326862453	0.06099524526367474	0.055512297316582186	0.04883371494373459	0.0452948564579006	0.037366292714853436	0.051665195713839526	0.030842829489181035	0.03816198254237478	0.05810569355213868	0.04066623138362988	-0.0174394621685088	0.0174394621685088	0.895931	0.068438	0.895931	0.496136	ENSG00000143774
1:228141124-228141288:+	0.5637308196985904	0.5400486385330779	0.5906271794621607	0.5516694138276231	0.5521584606068669	0.23972581402819879	0.256656262351204	0.16569196740609743	0.25609207210098817	0.3743532959460704	0.5596469024256638	0.25850388236651173	-0.3011430200591521	0.3011430200591521	0.905226	0.7910159999999999	0.905226	0.500466	ENSG00000143774
1:219179381-219179426:+	0.05171265101901225	0.0	0.06526134926820819	0.03928900701284484	0.01826122902599847	0.08763079869044625	0.026425431946171588	0.016867816689127495	0.0	0.03278444478187307	0.03490484726521274	0.03274169842152368	-0.0021631488436890667	0.0021631488436890667	0.566638	0.056991	0.566638	0.370601	ENSG00000143353
1:219179400-219179426:+	0.0	0.02942894473059629	0.03636267248018036	0.012870524628497238	0.06745120981021734	0.02445151749876769	0.014071035483300118	0.007150207337963005	0.008507859614932316	0.01191945003679391	0.029222670329898243	0.013220013994351406	-0.016002656335546837	0.016002656335546837	0.515892	0.056991	0.515892	0.370601	ENSG00000143353
1:211312720-211312961:+	0.9573210003462274	0.9760861687000019	0.9162589833623208	0.9666652420730748	0.9536583691854289	0.9262064030336646	0.78552448371536	0.8248284101165921	0.8297876202357946	0.9817423125930833	0.9539979527334108	0.869617845938899	-0.0843801067945118	0.0843801067945118	0.433723	0.01275	0.433723	0.654962	ENSG00000117625
1:184072157-184072310:+	0.09772057067130008	0.039010698635056164	0.0	0.01643590778254562	0.02453093332809278	0.12800503170718797	0.0	0.09872336157006513	0.0626362740069062	0.05549432105287521	0.03553962208339893	0.0689717976674069	0.03343217558400797	0.03343217558400797	0.470857	0.011712	0.470857	0.452468	ENSG00000198860
1:184072157-184072298:+	0.6758015202751945	0.6770080738754498	0.6064124372239519	0.6076303381241542	0.6336488007556419	0.6838821323909013	0.7411405143804778	0.7822137815316161	0.7334658101298228	0.7152615798190151	0.6401002340508785	0.7311927636503667	0.09109252959948821	0.09109252959948821	0.470857	0.049442	0.470857	0.452468	ENSG00000198860
1:171591152-171591204:+	0.4474831960499236	0.5615865896906475	0.5725020221715658	0.42335555743259684	0.7117724937147011	0.7671075591852866	0.7182529142516231	0.8687144403367894	0.9008183910251134	0.8692317408688927	0.5433399718118869	0.8248250091335411	0.2814850373216542	0.2814850373216542	0.403051	0.026638	0.403051	0.457771	ENSG00000117523
1:171591152-171591200:+	0.31798020146176903	0.22392615213974748	0.2334265362886751	0.32018276685638586	0.37146407505019396	0.13817486502308565	0.16447044444741543	0.20952781850739033	0.14299968895321222	0.1746277024712278	0.2933959463593543	0.16596010388046628	-0.127435842478888	0.127435842478888	0.403051	0.026638	0.403051	0.464826	ENSG00000117523
1:161711934-161712218:+	0.7113494017417014	1.0	1.0	1.0	1.0	0.9397705741140199	1.0	1.0	0.6648411482951134	1.0	0.9422698803483402	0.9209223444818267	-0.0213475358665135	0.0213475358665135	0.91072	0.0	0.91072	0.637099	ENSG00000132185
1:161118804-161118881:+	1.0	0.7986836343468392	1.0	0.9244191170910867	1.0	1.0	0.11123245634543553	0.0	0.35793984050842437	0.341702813873908	0.9446205502875852	0.3621750221455536	-0.5824455281420315	0.5824455281420315	0.067466	0.492555	0.492555	0.380926	ENSG00000158793
1:161118786-161118881:+	1.0	0.9837805360082895	1.0	0.9921172362441386	1.0	1.0	0.9522393356002361	0.9769501381375852	0.9691484217448614	0.9553302643750521	0.9951795544504856	0.9707336319715469	-0.02444592247893862	0.02444592247893862	0.052474	0.492555	0.492555	0.380926	ENSG00000158793
1:160351288-160351372:+	1.0	0.79856530147035	0.9449457228352648	0.30582235877560904	0.46380564230390897	0.8345840210581861	0.9198173458888053	0.7319030556121726	0.7698422234905757	0.6784426120152327	0.7026278050770265	0.7869178516129945	0.08429004653596806	0.08429004653596806	0.551455	0.010851	0.551455	0.904574	ENSG00000162736
1:156207862-156208013:+	1.0	0.6654530624713999	0.36667422020005946	0.7095025677203511	0.4322632271508489	1.0	1.0	0.6141411752882652	0.3435901444715332	1.0	0.634778615508532	0.7915462639519597	0.15676764844342772	0.15676764844342772	0.4779239999999999	0.0	0.4779239999999999	0.370614	ENSG00000160785
1:156207886-156208013:+	1.0	0.981750023515005	0.9488386610033462	0.990921000792195	0.9723865842608499	1.0	1.0	0.9767688560382545	0.969131609393271	1.0	0.9787792539142792	0.9891800930863051	0.010400839172025833	0.010400839172025833	0.4784839999999999	0.0	0.4784839999999999	0.370614	ENSG00000160785
1:156126736-156126915:+	0.0	0.0014582700708342547	0.0	0.0009131063042452066	0.001026107723345853	0.0012096253995969133	0.0	0.0	0.0006061430440660804	0.007719729471357478	0.0006794968196850628	0.0019070995830040942	0.0012276027633190314	0.0012276027633190314	1.3341420000000002	0.0266129999999999	1.3341420000000002	0.55904	ENSG00000160789
1:156126736-156126949:+	0.0	0.0	0.0	0.0	0.002487337723144687	0.0	0.0	0.0010807135661467912	0.0	0.0	0.0004974675446289374	0.00021614271322935823	-0.0002813248313995791	0.0002813248313995791	1.3341420000000002	0.051581	1.3341420000000002	0.610498	ENSG00000160789
1:155061904-155061975:+	0.5320409203646953	0.23157822216180274	0.40256918991853397	0.32145374977739455	0.1732046007830316	0.2354098083134437	0.11250480022271378	0.21547175438420055	0.2588782525645045	0.11659334006693911	0.33216933660109166	0.18777159111036032	-0.14439774549073134	0.14439774549073134	1.264596	0.404867	1.264596	0.941312	ENSG00000143537
1:78650186-78650652:+	0.8021125617056412	0.7264218742911925	0.7163273989100092	0.6208409892515679	0.6471435133582577	0.3707052055057696	0.5426370998743899	0.5084279735097573	0.47054867875621026	0.593555212649744	0.7025692675033337	0.49717483405917423	-0.20539443344415947	0.20539443344415947	0.04341	0.4650149999999999	0.4650149999999999	0.923223	ENSG00000137965
1:78650541-78650652:+	0.0	0.1477140205552316	0.0	0.0	0.0	0.23913007045935472	0.17873010944006767	0.06364816512095571	0.0	0.0178441044986607	0.029542804111046324	0.09987048990380776	0.07032768579276144	0.07032768579276144	0.054486	0.4650149999999999	0.4650149999999999	0.923223	ENSG00000137965
1:53210015-53211319:+	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9921144367996771	1.0	0.9984228873599355	-0.0015771126400645485	0.0015771126400645485	0.685957	0.010852	0.685957	0.5983	ENSG00000157184
1:53210015-53211250:+	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9575689694499083	1.0	0.9915137938899816	-0.00848620611001838	0.00848620611001838	0.685957	0.409525	0.685957	0.511372	ENSG00000157184
1:53027969-53028071:+	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994418194467443	0.9805363817420167	1.0	1.0	0.994990915241892	-0.005009084758108018	0.005009084758108018	0.490977	0.013319	0.490977	0.354608	ENSG00000116171
1:51669434-51669512:+	0.8077476542602203	0.6509666677510269	0.6607888621656796	0.5685529683826189	0.5102645432547409	0.3048392043149183	0.49945132150342725	0.404682151403292	0.3771013068438886	0.4399152327224318	0.6396641391628572	0.4051978433575917	-0.23446629580526557	0.23446629580526557	0.413616	0.017331	0.413616	1.246836	ENSG00000117859
1:51669434-51669814:+	0.09572328161526907	0.10137183724101216	0.07339100182229322	0.18924108013725569	0.024781127094942183	0.0	0.0	0.005093762376209022	0.0057229399889779185	0.0	0.09690166558215448	0.002163340473037388	-0.09473832510911709	0.09473832510911709	0.413616	0.0	0.413616	0.933177	ENSG00000117859
1:33083018-33083142:+	0.055284956001837755	0.05716394801964554	0.10603130296615841	0.04013389405089394	0.056417323074486304	0.029780852542538604	0.0679753819016714	0.10971486589297245	0.07375274344067957	0.03695548906321132	0.0630062848226044	0.06363586656821467	0.000629581745610272	0.000629581745610272	0.9894	0.0242119999999999	0.9894	1.048883	ENSG00000142920
1:33083063-33083142:+	0.07476506582907906	0.09396328366664464	0.04212524444080897	0.05353579004064387	0.09849998644711323	0.0	0.0	0.0	0.01718250139082117	0.044681897962342905	0.07257787408485795	0.012372879870632816	-0.060204994214225135	0.060204994214225135	1.236231	0.0242119999999999	1.236231	1.048883	ENSG00000142920
1:32825313-32825429:+	1.0	1.0	1.0	1.0	1.0	1.0	0.9569559452636286	0.9843487315718865	1.0	0.9852455228108322	1.0	0.9853100399292695	-0.014689960070730534	0.014689960070730534	0.321568	0.071191	0.321568	0.302714	ENSG00000116497
1:32668225-32668398:+	0.18555697281650105	0.3018996088351721	0.22783502624675	0.11056206668867613	0.06524395631386802	0.014782669019804327	0.10631168419590598	0.10247998313282189	0.10776430170021473	0.1565411201935941	0.17821952618019346	0.09757595164846819	-0.08064357453172527	0.08064357453172527	1.29661	0.045795	1.29661	0.941314	ENSG00000162521
1:32226403-32226530:+	0.7958796391404285	0.8167164632842028	0.807568584607413	0.8346866402968445	0.8417201437301061	0.870721014287203	0.9190855413216742	0.8983203365703164	0.87889751019716	0.8946021964593278	0.819314294211799	0.8923253197671362	0.07301102555533723	0.07301102555533723	0.500118	0.045357	0.500118	0.930243	ENSG00000084623
1:32226171-32226530:+	0.24367561459755396	0.2600186180797453	0.29193368425307703	0.33142257988454615	0.6032926514827861	0.22278876055393432	0.48617014834102396	0.3348431918492282	0.3024335383036357	0.3224437513101316	0.34606862965954177	0.3337358780715907	-0.012332751587951052	0.012332751587951052	0.481714	0.045357	0.481714	0.930243	ENSG00000084623
1:32204186-32204379:+	0.929860172954896	0.9360311340356474	0.9541785941076487	0.9439780488304795	0.975095861072773	0.9148631750368638	0.9427252001089657	0.916244278897529	0.8862627409132033	0.7777509870106405	0.947828762200289	0.8875692763934404	-0.06025948580684859	0.06025948580684859	0.489604	0.0	0.489604	0.931052	ENSG00000160050
1:32204233-32204379:+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51842	0.0	0.51842	0.931052	ENSG00000160050
1:28457832-28457859:+	0.007988235224982222	0.0	0.014134911535900229	0.0	0.034692585725514306	0.0660234248445399	0.022821746611354905	0.02730677980460996	0.0040712780383793685	0.022711442118542677	0.01136314649727935	0.02858693428348536	0.01722378778620601	0.01722378778620601	0.943582	1.036617	1.036617	1.1044930000000002	ENSG00000204138
1:28457832-28457855:+	0.1160818577052973	0.10448195378876383	0.1490957283302805	0.061992067101563346	0.03889922192767263	0.12304339556092227	0.07532372995679149	0.04001212888256078	0.04056355453408927	0.0316533054672874	0.09411016577071553	0.06211922288033024	-0.03199094289038529	0.03199094289038529	0.943582	1.036577	1.036577	1.090105	ENSG00000204138
1:2588530-2588625:+	1.0	0.9640874082293678	0.9188818211029129	0.6906587428610476	1.0	0.6535726530081455	0.9655460943019707	0.8706799938883342	0.9447401701472622	0.9418432634190755	0.9147255944386657	0.8752764349529576	-0.03944915948570815	0.03944915948570815	0.4703259999999999	0.013836	0.4703259999999999	0.420362	ENSG00000157870
