coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	AVG_CONTROL	AVG_CANCER	DIFF	ABSDIFF	max_PTBP1_binding_3ss_core	max_PTBP1_binding_5ss_core	max_PTBP1_binding_3ss_5ss_core	max_RBFOX1_binding_5ss_core	gene_id
1:241536463-241536564:+	0.0	0.25707288993471733	0.0	0.0	0.0	0.0	0.04666776144730001	0.0	0.0	0.08506854312163298	0.05141457798694347	0.026347260913786596	-0.02506731707315687	0.02506731707315687	0.029957	0.012348	0.029957	0.684831	ENSG00000117009
1:241536472-241536564:+	0.0	0.0	0.12888158907765743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025776317815531486	0.0	-0.025776317815531486	0.025776317815531486	0.029957	0.012348	0.029957	0.684831	ENSG00000117009
1:219193130-219193251:+	0.6458724997895186	0.7480386553894619	0.6885525657624618	0.8333605341131919	0.8059158861105084	0.7164989694174446	0.7592292555828185	0.7031932199154267	0.5578974300565078	0.5735396185990396	0.7443480282330285	0.6620716987142474	-0.08227632951878106	0.08227632951878106	0.034469	0.0	0.034469	0.493993	ENSG00000143353
1:184054354-184054435:+	1.0	0.9970127073537539	1.0	1.0	0.9966503432701977	1.0	1.0	0.9987204141407703	1.0	0.99732707475047	0.9987326101247904	0.9992094977782481	0.00047688765345765827	0.00047688765345765827	0.033896	0.015997	0.033896	0.13545	ENSG00000198860
1:162592732-162592782:+	0.24009996685111612	0.17453459789883333	0.20858429690209165	0.24233612655450132	0.2904625567850315	0.5601557515407102	0.5965766815330411	0.3527412155109314	0.35228067876882163	0.37809726887289286	0.2312035089983148	0.4479703192452794	0.21676681024696462	0.21676681024696462	0.01939	0.0	0.01939	1.024857	ENSG00000117143
1:162592735-162592782:+	0.02526730570402421	0.04220868581277126	0.10218730759444981	0.09786328339041035	0.048535284739815075	0.1526774436495558	0.2702009013064642	0.12932212013432398	0.16024755712035657	0.08676437973088574	0.06321237344829414	0.15984248038831725	0.09663010694002311	0.09663010694002311	0.01939	0.0	0.01939	1.024857	ENSG00000117143
1:161209857-161209931:+	0.9990403272898958	0.996211849641062	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9990504353861915	1.0	0.0009495646138084624	0.0009495646138084624	0.0291309999999999	0.0	0.0291309999999999	0.111587	ENSG00000158864
1:155310064-155310205:+	1.0	0.9504999692349456	0.9795087414435969	0.9741518473340193	0.9655620559148921	0.9533108775286341	0.9072582206778438	0.9386965990509265	0.9670596083343497	0.9746724234763413	0.9739445227854908	0.948199545813619	-0.025744976971871836	0.025744976971871836	0.045917	0.034768	0.045917	0.170334	ENSG00000160752
1:151018467-151018669:+	0.8229770596501714	0.8955752098402595	0.7792169696224531	0.6658177848081356	0.6579374990436891	0.6414597659371587	0.416266947428254	0.6368423884692727	0.6269283386948724	0.6185253338478712	0.7643049045929418	0.5880045548754858	-0.176300349717456	0.176300349717456	0.049967	0.047889	0.049967	0.277373	ENSG00000143363
1:147270932-147271113:+	0.17189000850672795	0.12706970485068392	0.41366707637563743	1.0	0.18570483657296857	0.0	0.495607333842628	0.5372429944201879	0.1376397158599494	0.3429415206060678	0.3796663252612036	0.3026863129457666	-0.076980012315437	0.076980012315437	0.042117	0.0	0.042117	0.202773	ENSG00000131778
1:147256531-147256562:+	1.0	1.0	1.0	1.0	1.0	1.0	0.9819150878237921	1.0	0.9898989972783215	0.9926595329463546	1.0	0.9928947236096937	-0.0071052763903063365	0.0071052763903063365	0.042991	0.024868	0.042991	0.560612	ENSG00000131778
1:108885275-108885578:+	0.5724155073914952	0.6891980724791205	0.7777971229822178	0.855053787043775	0.5568780486458855	0.9154721655491623	0.7269302994607585	0.6978295482570189	0.6033638036484631	0.6377905011445024	0.6902685077084987	0.7162772636119812	0.026008755903482506	0.026008755903482506	0.0484919999999999	0.0247	0.0484919999999999	0.160282	ENSG00000121957
