coordinates	CONTROL_1	CONTROL_2	CONTROL_3	CONTROL_4	CONTROL_5	CANCER_1	CANCER_2	CANCER_3	CANCER_4	CANCER_5	CONTROL_avg	CANCER_avg	DIFF	ABSDIFF	gene_id	gene_name	ttest_pval	p.adj.bonferroni	p.adj.bh	PTBP1_binding	RBFOX1_binding
1:228141124-228141288:+	0.5636403347353119	0.5399960180140881	0.5909791149949777	0.5516462844031903	0.5520529432594259	0.23981062895149013	0.2566261197675687	0.1657122830246792	0.25598341418481185	0.37446224964738095	0.5596629390813989	0.2585189391151862	-0.30114399996621266	0.30114399996621266	ENSG00000143774	GUK1	0.0005343290380444764	1.0	0.024697606894227724	1.25604	0.515436
1:10279097-10279138:+	0.9676131862939841	0.9124120675990687	0.9537767813625598	0.8830816614086919	0.8305492041413796	0.5205656030493172	0.4406380770577829	0.3493898045771436	0.5741231086081187	0.5585551621953485	0.9094865801611368	0.4886543510975422	-0.42083222906359463	0.42083222906359463	ENSG00000054523	KIF1B	8.331187179567087e-05	1.0	0.008567423863014543	1.2126819999999998	0.921395
1:39465095-39465112:+	0.6420686876202174	0.6636525482274833	0.5827685348717717	0.7664565757584103	0.7440491054833818	0.634602591838814	0.5777273687751644	0.5966189113724453	0.5291752968502522	0.5596066136816379	0.6797990903922528	0.5795461565036628	-0.10025293388859002	0.10025293388859002	ENSG00000127603	MACF1	0.038621588755342044	1.0	0.25262723317128216	0.978569	0.5242469999999999
1:46000959-46000979:+	0.6740581649464032	0.6343412848148774	0.6048485312758125	0.7014306677388539	0.5998980795594263	0.5089677991838748	0.5159118458179217	0.5809605193119277	0.32898961489870526	0.5152304144370632	0.6429153456670746	0.4900120387298985	-0.15290330693717613	0.15290330693717613	ENSG00000086015	MAST2	0.018476406692469482	1.0	0.17694765979312652	0.982718	0.930069
1:149012591-149012776:+	0.36775915126159225	0.4914006350245696	0.4182175134248087	0.3670676825008589	0.24702645153861058	0.15695866778678422	0.03028298837362025	0.08134931387124217	0.1246592945641924	0.0967883713134602	0.378294286750088	0.09800772718185985	-0.2802865595682282	0.2802865595682282	ENSG00000178104	PDE4DIP	0.000761930354379328	1.0	0.029973498985820933	1.417498	0.9093979999999999
1:172323329-172323340:+	0.852773124741837	0.8807214257688158	0.9032942203816682	0.7539688874781796	0.11636793998596491	0.0	0.0	0.0	0.0	0.10315351665147458	0.7014251196712932	0.020630703330294917	-0.6807944163409982	0.6807944163409982	ENSG00000197959	DNM3	0.00959441061935996	1.0	0.12276438974124676	0.51002	2.420425
1:203128278-203128432:+	0.779115881090664	0.937986348386864	0.769861221847109	0.8811389172538379	0.9913443920829887	0.7200479266749533	0.6667635964570161	0.7906297681403631	0.7513135837517252	0.7755412050697679	0.8718893521322928	0.7408592160187651	-0.13103013611352765	0.13103013611352765	ENSG00000163485	ADORA1	0.036465352095411296	1.0	0.24551648813399535	0.9377869999999999	0.539219
1:204991292-204991306:+	0.5166871078644262	0.8965532267793204	0.7012147336310217	0.6943021942433223	0.8795226359866388	0.25098661103211584	0.10682196797057944	0.07316351009646209	0.08087519719909758	0.02606898936478739	0.737655979700946	0.10758325513260847	-0.6300727245683375	0.6300727245683375	ENSG00000163531	NFASC	0.0001829732931738638	1.0	0.013983083713997648	1.3845539999999998	0.611219
1:205002596-205002748:+	0.8217246447245259	0.9088631377952944	0.7518249229214591	0.910764016951366	0.9142809252502668	0.1672892944282984	0.01904248503259188	0.280301316076167	0.0944882182636155	0.5176308657948763	0.8614915295285825	0.2157504359191098	-0.6457410936094727	0.6457410936094727	ENSG00000163531	NFASC	0.0008714720199287706	1.0	0.032332033959706026	0.92933	0.5099130000000001
1:21603835-21603912:-	0.38711265713531523	0.30679363625516504	0.34138233895950815	0.31282448937971885	0.19125045858842316	0.0753563125401781	0.09440235445502582	0.05242994952600598	0.05000912446036306	0.1333183198485835	0.3078727160636261	0.0811032121660313	-0.22676950389759482	0.22676950389759482	ENSG00000076864	RAP1GAP	0.0008874994523164894	1.0	0.03261081620652136	4.227608999999999	0.5331130000000001
10:84507294-84507333:+	0.22798706697459586	0.2300211727969753	0.23970762854521077	0.129506014080793	0.0052878147529509265	0.05399262600934444	0.0	0.0	0.0	0.012644175158313285	0.16650193943010516	0.013327360233531543	-0.15317457919657362	0.15317457919657362	ENSG00000107771	CCSER2	0.02534201983455849	1.0	0.2066541239569039	1.298983	1.985854
10:60068637-60076448:-	0.4097696872988256	0.2444752670089182	0.4387250764558199	0.2318515319681113	0.11361976359576535	0.1637750500136207	0.02508047182285128	0.04371236037742859	0.025875911580762335	0.14460653610796123	0.2876882652654881	0.08061006598052482	-0.20707819928496324	0.20707819928496324	ENSG00000151150	ANK3	0.02263521127247655	1.0	0.19535342453376062	1.0988870000000002	1.052368
10:73828089-73828121:-	0.2659561814549924	0.3073942324540466	0.29161716119046116	0.32139025306409214	0.12999850218829262	0.009350377611403535	0.0	0.009129034814486948	0.0035133629592539275	0.023201939195182177	0.263271266070377	0.009038942916065319	-0.25423232315431166	0.25423232315431166	ENSG00000148660	CAMK2G	0.0016866699867297134	1.0	0.047463729791856805	2.086535	1.673875
10:73839539-73839601:-	0.346417691133651	0.37156668419033545	0.3942259455043842	0.3882897128580294	0.21363774399432237	0.04839315319476184	0.1832218110901738	0.14422574548336817	0.11984363675496655	0.11951758609281131	0.3428275555361445	0.12304038652321633	-0.2197871690129282	0.2197871690129282	ENSG00000148660	CAMK2G	0.0009373267971963771	1.0	0.033873089268965775	0.613955	0.624715
10:77008185-77008193:-	0.36363344396958736	0.412082104631391	0.37512087917009557	0.267460185810584	0.3308104412742722	0.022446894922265318	0.02734309558086509	0.08942658853712256	0.12835041115847579	0.03411924189681751	0.349821410971186	0.06033724641910926	-0.28948416455207676	0.28948416455207676	ENSG00000156113	KCNMA1	2.095910287855609e-05	0.6422917077133514	0.0037184720127805817	1.011952	0.908316
11:64354004-64354170:+	1.0	0.5551471981778335	0.46368916272733496	0.4940853598270219	0.4517943241370344	0.1241720313754585	0.25452373520616983	0.369372677381884	0.24930939562883764	0.3253514134908072	0.592943208973845	0.2645458506166315	-0.3283973583572135	0.3283973583572135	ENSG00000168071	CCDC88B	0.030017194806045824	1.0	0.22418904631829972	0.7411570000000001	1.0157129999999999
11:57806461-57806478:+	0.5078532692788827	0.5049574028897299	0.4998708563564502	0.4705641223078676	0.406854464956028	0.3849837636681657	0.035327287653821864	0.13790814418983793	0.0813019634041239	0.10009837388615063	0.47802002315779174	0.14792390656042	-0.3300961165973717	0.3300961165973717	ENSG00000198561,ENSG00000288534	CTNND1,AP001931.2	0.004251323972830661	1.0	0.07959165298955365	0.968391	1.853167
11:117840344-117840368:-	1.0	0.9440448725908596	0.9025559884465537	0.9773881663401637	0.9289485142103581	0.5693344581224934	0.7428663254110646	0.8121650660582586	0.5669901956697023	0.4530923890471562	0.9505875083175871	0.628889686861735	-0.32169782145585213	0.32169782145585213	ENSG00000137726	FXYD6	0.006339467631587353	1.0	0.09836606864303517	1.490024	0.931066
11:72012401-72012442:-	0.3454901505351468	0.2748622416845729	0.3406838365837945	0.2868345576446847	0.11859821475833714	0.1371129012734949	0.24843329524143465	0.058033655208783196	0.11658712109865882	0.07587214258904469	0.27329380024130717	0.12720782308228323	-0.14608597715902394	0.14608597715902394	ENSG00000137497	NUMA1	0.025830046307589668	1.0	0.20830572870949615	0.5435530000000001	0.934442
11:72900257-72900328:-	0.1509640107310083	0.1387678047580792	0.14740919875889763	0.16157601402593896	0.026854647528666325	0.033619118797837196	0.0	0.00783901977880463	0.0	0.001841231583577973	0.12511433516051806	0.00865987403204396	-0.1164544611284741	0.1164544611284741	ENSG00000137478	FCHSD2	0.007825886594821153	1.0	0.11036552908343039	0.512473	1.156285
11:113806489-113806584:-	0.607142522150373	0.6493593640196533	0.6324636929027204	0.5316967538636388	0.5342076245853203	0.31353779015066663	0.31954543481848613	0.20846768721691514	0.3131804839146913	0.307882787122733	0.5909739915043412	0.2925228366446984	-0.29845115485964274	0.29845115485964274	ENSG00000048028	USP28	1.8292073674379538e-05	0.5605605977513609	0.0034611433594595063	0.926815	0.930847
12:51780649-51780771:+	0.8809484157562895	0.7812751583049896	0.8709292462953248	0.6736612301674351	0.8543961418594599	0.29392556007091514	0.5804761350646505	0.0895017226832524	0.586407035526432	0.6436992078251066	0.8122420384766997	0.4388019322340713	-0.3734401062426284	0.3734401062426284	ENSG00000196876	SCN8A	0.021327241024014076	1.0	0.18941227341368963	0.761328	1.278764
12:89598657-89598743:-	0.7327393031811673	0.7260370158814657	0.7021446654595831	0.7700075184879283	0.5764456430343725	0.35066687038628896	0.2654265908113128	0.2813534222515119	0.2209396524384734	0.3490989002145945	0.7014748292089034	0.2934970872204363	-0.40797774198846704	0.40797774198846704	ENSG00000070961	ATP2B1	1.5785857109823632e-05	0.48375759113054523	0.0031826157311220077	2.273904	0.9310639999999999
12:50132962-50133064:-	0.7646627167502561	0.7757908562768376	0.6564494602563716	0.7032301294667053	0.7435932014418343	0.23058643292976885	0.027346924232674152	0.07991979434192552	0.03945841196661305	0.1033394242410258	0.728745272838401	0.09613019754240149	-0.6326150752959995	0.6326150752959995	ENSG00000139624	CERS5	2.5747842580466005e-06	0.07890426358783807	0.0010914627376056474	0.513617	0.6596280000000001
12:39315932-39315970:-	0.6029890877943627	0.6332688106014385	0.5937337853343326	0.32198972579006957	0.4292473460236122	0.43683146250305194	0.25152351288449093	0.32002091226299695	0.28427827789935106	0.2549723109118457	0.516245751108763	0.3095252952923473	-0.20672045581641574	0.20672045581641574	ENSG00000139116	KIF21A	0.022906234219304152	1.0	0.19629797193808046	1.467431	0.910367
12:57272453-57272554:-	0.60249672257586	0.6049084370141318	0.6003906104377884	0.5466688167949731	0.10636878280597101	0.003647859707968632	0.0	0.0029841516430749787	0.0	0.02517424877752388	0.4921666739257448	0.006361252025713499	-0.4858054219000313	0.4858054219000313	ENSG00000179912	R3HDM2	0.0074006143460438245	1.0	0.1070782939728579	2.3136970000000003	0.501994
